iter	Passed	Remaining
0	141	141598
1	147	73460
2	149	49693
3	150	37452
4	152	30293
5	155	25682
6	157	22308
7	158	19712
8	160	17680
9	161	15964
10	162	14592
11	163	13458
12	164	12492
13	165	11651
14	166	10912
15	167	10271
16	168	9714
17	168	9216
18	169	8761
19	170	8359
20	171	7985
21	171	7641
22	172	7326
23	173	7036
24	173	6771
25	174	6528
26	174	6301
27	175	6087
28	175	5886
29	176	5699
30	176	5525
31	177	5362
32	177	5208
33	178	5063
34	178	4925
35	179	4796
36	179	4674
37	180	4557
38	180	4448
39	180	4342
40	181	4244
41	181	4151
42	182	4066
43	183	3982
44	183	3899
45	184	3819
46	184	3743
47	185	3669
48	185	3600
49	185	3533
50	186	3468
51	186	3405
52	187	3346
53	187	3289
54	188	3234
55	188	3180
56	189	3128
57	189	3078
58	190	3030
59	190	2983
60	190	2938
61	191	2894
62	191	2851
63	192	2810
64	192	2771
65	193	2732
66	193	2694
67	193	2657
68	194	2622
69	194	2587
70	195	2554
71	195	2521
72	196	2490
73	196	2459
74	197	2431
75	197	2405
76	198	2376
77	198	2348
78	199	2322
79	199	2295
80	200	2269
81	200	2244
82	200	2217
83	201	2193
84	201	2170
85	202	2147
86	202	2125
87	202	2103
88	203	2081
89	203	2060
90	204	2040
91	204	2020
92	205	2000
93	205	1981
94	205	1962
95	206	1943
96	206	1925
97	207	1907
98	207	1890
99	208	1873
100	208	1856
101	209	1840
102	209	1824
103	209	1808
104	210	1792
105	210	1777
106	211	1762
107	211	1747
108	212	1734
109	212	1720
110	213	1707
111	213	1694
112	214	1682
113	214	1668
114	215	1656
115	215	1643
116	216	1630
117	216	1618
118	217	1606
119	217	1594
120	217	1583
121	218	1570
122	218	1559
123	219	1548
124	219	1536
125	219	1526
126	220	1514
127	220	1504
128	221	1493
129	221	1483
130	222	1473
131	222	1463
132	222	1453
133	223	1443
134	223	1434
135	224	1426
136	224	1417
137	225	1408
138	225	1399
139	226	1390
140	227	1383
141	227	1374
142	228	1367
143	228	1359
144	229	1351
145	229	1343
146	230	1335
147	230	1328
148	231	1320
149	231	1312
150	232	1305
151	232	1297
152	233	1290
153	233	1283
154	234	1275
155	234	1268
156	234	1261
157	235	1254
158	235	1246
159	236	1240
160	236	1232
161	236	1225
162	237	1219
163	237	1212
164	238	1206
165	238	1199
166	239	1193
167	239	1187
168	240	1181
169	240	1174
170	241	1168
171	241	1163
172	242	1158
173	243	1153
174	243	1148
175	244	1143
176	244	1137
177	245	1132
178	245	1127
179	246	1122
180	246	1116
181	247	1111
182	247	1105
183	248	1100
184	248	1094
185	249	1089
186	249	1084
187	249	1079
188	250	1074
189	250	1069
190	251	1064
191	251	1059
192	252	1055
193	252	1050
194	253	1045
195	253	1040
196	254	1035
197	254	1031
198	255	1026
199	255	1022
200	255	1017
201	256	1012
202	256	1008
203	257	1004
204	258	1000
205	258	996
206	259	992
207	259	988
208	260	984
209	260	980
210	261	976
211	261	971
212	261	967
213	262	963
214	262	959
215	263	955
216	263	951
217	264	947
218	264	943
219	265	939
220	265	935
221	265	932
222	266	928
223	266	924
224	267	920
225	267	916
226	268	913
227	268	909
228	269	905
229	269	902
230	269	898
231	270	894
